CatalogoId,sku,nombre,PrecioLista,PrecioVenta,Cantidad,ProviderId
31,00292AFE3007PHI,AFEITADORA CORPORAL BG3007/01 PHILIPS,65999.0,50299.0,38,292
31,00292CHO0818IDL,COLCHON WARNER/AMARILLO 80X18 C/A INDUCOL,198429.0,127999.0,69,292
31,00292LSR1025BGH,LSR AUT BWDN10W25A 10K 1400RPM INV BL BGH,1699999.0,1015799.0,428,292
31,00292MOC0028HAM,MOCHILA MR28 HAMILTON,223499.0,218729.0,9990,292
31,00292AUR0111JBL,Auricular In Ear T110 Blanco JBL,21499.0,15399.0,15,292
31,00292SEC3081PHI,Secador de Pelo BHD308/10 1600 W PHILIPS,91559.0,69799.0,64,292
31,00292VEN7760LIL,Ventilador de Pared 90 W VWOC20 Negro,136299.0,100599.0,111,292
31,00292CHO7058KIN,Colchón QUEEN SIZE Resorte LFK WELLS 1.60 x 2.00 KING KOIL,880829.0,619999.0,37,292
31,00292CAF8501SML,CAFETERA EXPRESO SL-EC8501 20B. SMARTLIFE,287299.0,178899.0,18,292
31,00292AIO1027HEW,AIO 24-CB1027LA I5 8GB 512GB W11  HP,1618999.0,1199999.0,93,292
31,00292CUB0002FPH,Cubrecama Classic 2 1/2 Plazas Bruma FP HOME,93999.0,74399.0,26,292
31,00292COR5610PHI,CORTADORA CABELLO HC5610/15 PHILIPS,74699.0,55099.0,25,292
31,00292CAL4800ESK,CALEFACTOR M3 TB5 P 4800KCALEFACTOR GR ESKABE,517899.0,517899.0,8,292
31,00292KIT5050TCL,Celular Liberado TCL 50 NXTPAPER Gris 512 GB,549999.0,384499.0,122,292
31,00292FEE3310CNQ,FREEZER FH3300BPa 290L E.E.A DUAL H. CONQUEROR,823399.0,613899.0,73,292
31,00292SOF0101AIM,SOFA CAMA BUCANERO NEGRO MUEBLES AIMARETTI,676999.0,499699.0,9990,292
31,00292PLA6969GAM,PLANCHA ELEGANCE PTC GOLD. GAMA,99199.0,73199.0,95,292
31,00292SOP4100EUH,Soporte Para Tv Móvil de 19 a 43 Pulgadas EHB4100 EUROHOME,27499.0,19999.0,6,292
31,00292CAL2021LIL,CALEFACTOR INFRARROJO DE PIE EXT CIPIE2000 2000W LILIANA,162199.0,131299.0,20,292
31,00292MES0112ORL,MESA DE LUZ L PREMIUM 112 VE MUEBLES ORLANDI,114799.0,97599.0,9990,292
31,00292SKT0011STR,SKATE AVENGERS 12007-B STREET GO,40499.0,32799.0,15,292
31,00292CUB0014FPH,Cubrecama Classic 2 1/2 Plazas Cala FP HOME,93999.0,74399.0,16,292
31,00292SIL1078AIM,Sillón Plegable de Cinta 1 Posición Apoyabrazos de Madera AIMARETTI,66999.0,54199.0,9990,292
31,00292SEC5740GAM,SEC MISTRAL TITANIUM ION 2200W GAMA,85699.0,63299.0,9,292
31,00292VEN0009LIL,VENTILADOR DE TECHO VTHBOX20 LAMP 32W VTR. LILIANA,246799.0,199799.0,65,292
31,00292SEC1800ALE,Secador de Pelo 94SP1025AP 1800 W ALLURE,49999.0,34499.0,9,292
31,00292LIN0080HAM,LINTERNA LED REC LL80R 10W HAMILTON,83599.0,61999.0,9990,292
31,00292VEN3041AUV,Ventilador De Techo V3041 Oro 90 W Con Luz AUVENT,570799.0,264399.0,91,292
31,00292VAP9300LIL,VAPORIERA AV930 3BAND 1050W LILIANA,147199.0,126199.0,33,292
31,00292AIR0026ELE,Aire Acondicionado Split Inverter Frio Calor 2600W Cool Wave ELECTRA ,854399.0,679999.0,200,292
31,00292CAL8250LIL,CALOVENTOR CFH501R HEATCOLOR R LILIANA,55199.0,42899.0,28,292
31,00292TEN0014POL,TENDER N°14 EXTENSIBLE 80 CM POLITEN,62599.0,46999.0,9,292
31,00292AUR1112SNY,AUR INAL WF-C510/BZ UC IN EAR NG SONY,154499.0,125099.0,92,292
31,00292CON0000PBD,VITROCONVECTOR PE-VQD20B 2000W BL. PEABODY,240899.0,198199.0,36,292
31,00292CMP0994LIL,CAMPANA EXTRACTORA KC994 165W 60CM LILIANA,449999.0,292099.0,80,292
